num_stroke,start_point_x,start_point_y,end_point_y,num_brush,num_physical_stroke,end_point_x,theta_deg,g,theta_rad,b,r,Unnamed: 0,Unnamed: 0.1
302.0,514.4962523693358,132.76087462794172,148.21868797975517,3.0,891.0,538.5638302934951,122.71129846572876,117.0,2.141716187624433,221.0,244.0,890.0,890.0
302.0,513.9258006820986,133.64905914162924,149.1068724934427,3.0,892.0,537.9933786062578,122.71129846572876,117.0,2.141716187624433,221.0,244.0,891.0,891.0
303.0,41.91887904821596,159.20390980370937,163.80930928207638,3.0,893.0,54.15717095110792,110.62185287475586,66.0,1.930715557321244,148.0,202.0,892.0,892.0
303.0,37.63495796380671,170.5879117705797,175.19331124894669,3.0,894.0,49.87324986669866,110.62185287475586,66.0,1.930715557321244,148.0,202.0,893.0,893.0
256.0,96.84098418925474,344.751917714442,368.0696987393727,3.0,773.0,104.4173924476218,161.9999957084656,88.0,2.8274333133294083,77.0,225.0,772.0,772.0
256.0,87.07008346755734,347.92667661797583,371.24445764290647,3.0,774.0,94.64649172592442,161.9999957084656,88.0,2.8274333133294083,77.0,225.0,773.0,773.0
281.0,202.0705293028332,445.2174757721763,487.9065113925092,3.0,840.0,249.412089756716,132.04174876213074,64.0,2.3045632659903283,34.0,227.0,839.0,839.0
281.0,193.8792174755558,454.3015292869143,496.9905649072472,3.0,841.0,241.22077792943864,132.04174876213074,64.0,2.3045632659903283,34.0,227.0,840.0,840.0
281.0,185.6879056482784,463.3855828016522,506.07461842198506,3.0,842.0,233.02946610216128,132.04174876213074,64.0,2.3045632659903283,34.0,227.0,841.0,841.0
281.0,182.27485905357955,467.1706050994597,509.8596407197925,3.0,843.0,229.61641950746244,132.04174876213074,64.0,2.3045632659903283,34.0,227.0,842.0,842.0
286.0,533.3497327317148,158.84690541043744,186.07172448644383,3.0,852.0,554.2544245344151,142.48099207878113,86.0,2.4867624332826908,54.0,245.0,851.0,851.0
286.0,531.6534882827963,160.1493738429249,187.37419291893136,3.0,853.0,552.5581800854966,142.48099207878113,86.0,2.4867624332826908,54.0,245.0,852.0,852.0
287.0,20.690924306827828,194.63228413941647,192.2370201147692,3.0,854.0,39.33464179454825,82.67899096012115,40.0,1.4430206144807418,89.0,180.0,853.0,853.0
287.0,21.84913404792982,203.6472966734985,201.2520326488512,3.0,855.0,40.49285153565023,82.67899096012115,40.0,1.4430206144807418,89.0,180.0,854.0,854.0
289.0,121.27929444271082,467.5315874797717,497.3894732204509,3.0,860.0,134.58966598879778,155.97312569618225,33.0,2.7222445880253527,54.0,175.0,859.0,859.0
289.0,110.07487539523186,472.5264147014732,502.3843004421524,3.0,861.0,123.3852469413188,155.97312569618225,33.0,2.7222445880253527,54.0,175.0,860.0,860.0
289.0,98.87045634775288,477.5212419231746,507.3791276638539,3.0,862.0,112.18082789383983,155.97312569618225,33.0,2.7222445880253527,54.0,175.0,861.0,861.0
297.0,254.22484807152847,403.0365328437276,403.7329463034492,3.0,877.0,275.46216371860163,91.87816858291626,24.0,1.6035765524743013,88.0,165.0,876.0,876.0
297.0,253.8207900899309,415.3583896015474,416.0548030612689,3.0,878.0,275.0581057370041,91.87816858291626,24.0,1.6035765524743013,88.0,165.0,877.0,877.0
297.0,253.4840751052663,425.6266035663973,426.3230170261188,3.0,879.0,274.72139075233946,91.87816858291626,24.0,1.6035765524743013,88.0,165.0,878.0,878.0
258.0,141.44579332415944,268.8917178164332,260.209665997702,3.0,778.0,206.2474854518364,82.36902415752411,6.0,1.437610673203544,64.0,71.0,777.0,777.0
