num_physical_stroke,end_point_x,b,g,start_point_x,num_brush,num_stroke,start_point_y,theta_rad,theta_deg,r,end_point_y,Unnamed: 0,Unnamed: 0.1
1452.0,568.7088029617097,149.0,80.0,561.3849432280851,4.0,526.0,218.7420786474273,0.3141592700403172,18.000000268220898,239.0,196.2015564757124,1451.0,1451.0
1453.0,578.3488436258302,149.0,80.0,571.0249838922059,4.0,526.0,221.8743177815789,0.3141592700403172,18.000000268220898,239.0,199.333795609864,1452.0,1452.0
1454.0,587.9888842899511,149.0,80.0,580.6650245563266,4.0,526.0,225.00655691573047,0.3141592700403172,18.000000268220898,239.0,202.4660347440156,1453.0,1453.0
1455.0,589.9168924227753,149.0,80.0,582.5930326891507,4.0,526.0,225.6330047425608,0.3141592700403172,18.000000268220898,239.0,203.09248257084587,1454.0,1454.0
1459.0,118.18036550388288,76.0,52.0,113.17731411796768,4.0,529.0,436.78431756320833,2.6512779404596283,151.90703630447388,215.0,446.1569702682842,1458.0,1458.0
1463.0,204.891847802129,119.0,99.0,195.5007124743312,4.0,531.0,144.2906865019301,1.0841887651110411,62.11944043636323,217.0,139.32241525781896,1462.0,1462.0
1476.0,166.64779149756114,97.0,52.0,163.36468196179842,4.0,538.0,40.7766691117029,0.3141592700403172,18.000000268220898,187.0,30.67229710369277,1475.0,1475.0
1485.0,87.54760321582886,89.0,94.0,65.38410912611182,4.0,543.0,372.2946695483501,0.9645580189017036,55.26510357856751,247.0,356.92795918782724,1484.0,1484.0
1486.0,92.76648060510696,89.0,94.0,70.60298651538992,4.0,543.0,379.8218862042569,0.9645580189017036,55.26510357856751,247.0,364.4551758437341,1485.0,1485.0
899.0,282.4906350454738,95.0,39.0,220.9301187870333,4.0,306.0,318.37703236494724,1.3081752393667545,74.95292007923126,146.0,301.82771375670904,898.0,898.0
900.0,285.10434873114576,95.0,39.0,223.5438324727053,4.0,306.0,328.09958153151064,1.3081752393667545,74.95292007923126,146.0,311.5502629232724,899.0,899.0
901.0,287.71806241681776,95.0,39.0,226.15754615837727,4.0,306.0,337.82213069807386,1.3081752393667545,74.95292007923126,146.0,321.2728120898357,900.0,900.0
902.0,290.3317761024897,95.0,39.0,228.7712598440492,4.0,306.0,347.5446798646372,1.3081752393667545,74.95292007923126,146.0,330.995361256399,901.0,901.0
903.0,292.16137568246006,95.0,39.0,230.6008594240196,4.0,306.0,354.35046428123155,1.3081752393667545,74.95292007923126,146.0,337.8011456729934,902.0,902.0
934.0,474.2516274649183,111.0,49.0,453.5956197546,4.0,316.0,320.0520000454698,1.1259327228858675,64.51119303703308,163.0,310.20454260943785,933.0,933.0
935.0,478.6727720381336,111.0,49.0,458.0167643278154,4.0,316.0,329.32578436857995,1.1259327228858675,64.51119303703308,163.0,319.478326932548,934.0,934.0
936.0,483.0939166113489,111.0,49.0,462.43790890103065,4.0,316.0,338.59956869169,1.1259327228858675,64.51119303703308,163.0,328.7521112556581,935.0,935.0
937.0,484.862374440635,111.0,49.0,464.20636673031686,4.0,316.0,342.30908242093415,1.1259327228858675,64.51119303703308,163.0,332.4616249849022,936.0,936.0
938.0,399.9639052984024,64.0,12.0,391.16077007224936,4.0,317.0,355.996701923187,0.7385563691401275,42.31616288423538,101.0,346.327663540504,937.0,937.0
939.0,402.19912401075067,64.0,12.0,393.39598878459776,4.0,317.0,358.0317473750772,0.7385563691401275,42.31616288423538,101.0,348.362708992394,938.0,938.0
943.0,29.26672265809844,93.0,40.0,1.2401659936012557,4.0,320.0,347.3947456222428,1.0744262095242725,61.56008720397949,127.0,332.2156020814365,942.0,942.0
944.0,30.774866516536665,93.0,40.0,2.748309852039487,4.0,320.0,350.17936118326594,1.0744262095242725,61.56008720397949,127.0,335.00021764245963,943.0,943.0
947.0,291.81579292844464,96.0,52.0,284.9970254959142,4.0,322.0,272.4277480609136,2.8274333133294083,161.9999957084656,156.0,293.41375098335106,946.0,946.0
948.0,282.2775327001209,96.0,52.0,275.4587652675906,4.0,322.0,275.52691746674424,2.8274333133294083,161.9999957084656,156.0,296.51292038918183,947.0,947.0
949.0,272.7392724717973,96.0,52.0,265.92050503926697,4.0,322.0,278.626086872575,2.8274333133294083,161.9999957084656,156.0,299.61208979501254,948.0,948.0
950.0,263.2010122434737,96.0,52.0,256.3822448109433,4.0,322.0,281.7252562784057,2.8274333133294083,161.9999957084656,156.0,302.7112592008433,949.0,949.0
951.0,253.66275201515003,96.0,52.0,246.8439845826197,4.0,322.0,284.8244256842365,2.8274333133294083,161.9999957084656,156.0,305.810428606674,950.0,950.0
952.0,252.7089259923177,96.0,52.0,245.89015855978727,4.0,322.0,285.1343426248196,2.8274333133294083,161.9999957084656,156.0,306.1203455472571,951.0,951.0
956.0,566.4477801600308,144.0,37.0,562.9121229727929,4.0,324.0,26.662388199958936,2.8274333133294083,161.9999957084656,177.0,37.54401934492656,955.0,955.0
957.0,557.4556128793108,144.0,37.0,553.9199556920728,4.0,324.0,29.584121205917977,2.8274333133294083,161.9999957084656,177.0,40.4657523508856,956.0,956.0
958.0,379.5699336589736,86.0,32.0,357.8638881557868,4.0,325.0,393.511254560934,1.983979632166616,113.67365956306458,156.0,403.0276430452784,957.0,957.0
959.0,375.540837998271,86.0,32.0,353.83479249508423,4.0,325.0,402.7012675466144,1.983979632166616,113.67365956306458,156.0,412.2176560309587,958.0,958.0
960.0,374.3321093000602,86.0,32.0,352.6260637968735,4.0,325.0,405.4582714423185,1.983979632166616,113.67365956306458,156.0,414.9746599266628,959.0,959.0
963.0,583.7579758221857,103.0,79.0,574.2304701107216,4.0,327.0,474.7442239359311,2.695134773261324,154.4198477268219,163.0,494.6473529079675,962.0,962.0
964.0,574.4747040868427,103.0,79.0,564.9471983753788,4.0,327.0,479.1880691526212,2.695134773261324,154.4198477268219,163.0,499.0911981246576,963.0,963.0
970.0,178.95355729972275,58.0,4.0,153.59165156397358,4.0,330.0,27.93688623743455,0.6394900847345965,36.640082895755775,103.0,-6.163084552174205,969.0,969.0
971.0,180.6219140943732,58.0,4.0,155.26000835862405,4.0,330.0,29.177729170133293,0.6394900847345965,36.640082895755775,103.0,-4.922241619475464,970.0,970.0
976.0,482.4369945939366,89.0,50.0,459.5460453377137,4.0,332.0,276.22856915276026,2.5601807911091314,146.68755412101748,151.0,311.0602180956193,975.0,975.0
977.0,474.0594284248335,89.0,50.0,451.1684791686106,4.0,332.0,281.73420692437963,2.5601807911091314,146.68755412101748,151.0,316.56585586723867,976.0,976.0
978.0,467.3573754895511,89.0,50.0,444.4664262333281,4.0,332.0,286.138717141675,2.5601807911091314,146.68755412101748,151.0,320.97036608453413,977.0,977.0
979.0,417.0066364888368,59.0,13.0,372.1426792965784,4.0,333.0,250.8180195383905,1.8433687213520669,105.61724781990053,97.0,263.358820959276,978.0,978.0
980.0,414.3052678779552,59.0,13.0,369.4413106856968,4.0,333.0,260.48200205846007,1.8433687213520669,105.61724781990053,97.0,273.02280347934555,979.0,979.0
981.0,413.4948572946907,59.0,13.0,368.6309001024324,4.0,333.0,263.38119681448103,1.8433687213520669,105.61724781990053,97.0,275.92199823536646,980.0,980.0
996.0,296.39486261101774,90.0,28.0,274.7119394783738,4.0,339.0,171.97700233595558,1.7574002585005195,100.69161772727966,120.0,176.0707478560567,995.0,995.0
1008.0,523.3448436723561,52.0,17.0,501.4557169109567,4.0,343.0,416.6705544466928,0.9071520835769326,51.975985765457146,87.0,399.5541150768008,1007.0,1007.0
1009.0,526.5467807173809,52.0,17.0,504.6576539559816,4.0,343.0,420.76530828807023,0.9071520835769326,51.975985765457146,87.0,403.64886891817815,1008.0,1008.0
1010.0,441.3826572150479,67.0,10.0,427.2394025707254,4.0,344.0,175.04956733123498,2.475318247512132,141.82528853416443,138.0,193.0387702193298,1009.0,1009.0
1011.0,433.3586144555918,67.0,10.0,419.21535981126937,4.0,344.0,181.3581336823889,2.475318247512132,141.82528853416443,138.0,199.34733657048372,1010.0,1010.0
1012.0,425.3345716961359,67.0,10.0,411.1913170518135,4.0,344.0,187.6667000335429,2.475318247512132,141.82528853416443,138.0,205.65590292163776,1011.0,1011.0
1013.0,417.31052893667993,67.0,10.0,403.1672742923575,4.0,344.0,193.97526638469688,2.475318247512132,141.82528853416443,138.0,211.9644692727917,1012.0,1012.0
1014.0,414.1009118328975,67.0,10.0,399.9576571885751,4.0,344.0,196.49869292515845,2.475318247512132,141.82528853416443,138.0,214.4878958132533,1013.0,1013.0
1015.0,227.84200594978367,99.0,41.0,194.363993595555,4.0,345.0,442.8821546170512,1.6128336171996327,92.4085593223572,196.0,444.2903091080858,1014.0,1014.0
1016.0,227.41210359720435,99.0,41.0,193.93409124297568,4.0,345.0,453.102820291446,1.6128336171996327,92.4085593223572,196.0,454.5109747824806,1015.0,1015.0
1017.0,227.19715242091468,99.0,41.0,193.719140066686,4.0,345.0,458.21315312864334,1.6128336171996327,92.4085593223572,196.0,459.621307619678,1016.0,1016.0
1018.0,219.08633236926536,84.0,20.0,208.50722056703077,4.0,346.0,73.43206801570112,1.4784659258002324,84.70985770225525,158.0,72.45250924977921,1017.0,1017.0
1019.0,220.02741225016547,84.0,20.0,209.4483004479308,4.0,346.0,83.59561268625059,1.4784659258002324,84.70985770225525,158.0,82.6160539203287,1018.0,1018.0
1020.0,220.21562822634547,84.0,20.0,209.6365164241108,4.0,346.0,85.62832162036052,1.4784659258002324,84.70985770225525,158.0,84.64876285443859,1019.0,1019.0
1025.0,543.6035142905567,87.0,36.0,498.67103256064337,4.0,348.0,319.49677864294745,1.9420979494321349,111.2740159034729,126.0,336.9917506034749,1024.0,1024.0
1026.0,539.8643329697144,87.0,36.0,494.9318512398011,4.0,348.0,329.1001490720427,1.9420979494321349,111.2740159034729,126.0,346.5951210325702,1025.0,1025.0
1027.0,538.7425785734616,87.0,36.0,493.8100968435484,4.0,348.0,331.9811602007713,1.9420979494321349,111.2740159034729,126.0,349.47613216129884,1026.0,1026.0
1042.0,206.09154442105137,102.0,43.0,154.29757571578804,4.0,354.0,312.10861718036364,2.193159783805275,125.65879940986632,143.0,349.2699130964225,1041.0,1041.0
1043.0,200.1412892055711,102.0,43.0,148.34732050030777,4.0,354.0,320.4018514398754,2.193159783805275,125.65879940986632,143.0,357.56314735593423,1042.0,1042.0
1044.0,194.19103399009083,102.0,43.0,142.39706528482753,4.0,354.0,328.6950856993871,2.193159783805275,125.65879940986632,143.0,365.856381615446,1043.0,1043.0
1045.0,192.4059574254468,102.0,43.0,140.61198872018343,4.0,354.0,331.18305597724066,2.193159783805275,125.65879940986632,143.0,368.34435189329946,1044.0,1044.0
1051.0,439.7274372435289,74.0,37.0,415.1190123521041,4.0,357.0,427.59934290697294,2.053774821747841,117.67262935638428,166.0,440.504062642128,1050.0,1050.0
1052.0,435.0325080617153,74.0,37.0,410.4240831702903,4.0,357.0,436.55225428454287,2.053774821747841,117.67262935638428,166.0,449.4569740196978,1051.0,1051.0
1053.0,430.80707179808303,74.0,37.0,406.1986469066581,4.0,357.0,444.6098745243556,2.053774821747841,117.67262935638428,166.0,457.51459425951066,1052.0,1052.0
1072.0,600.4564433698594,43.0,21.0,591.0711069669942,4.0,364.0,254.156011078324,2.807288393024046,160.84577679634094,87.0,281.17651739038314,1071.0,1071.0
1073.0,590.9977487884807,43.0,21.0,581.6124123856156,4.0,364.0,257.44140586526674,2.807288393024046,160.84577679634094,87.0,284.461912177326,1072.0,1072.0
1074.0,581.5390542071021,43.0,21.0,572.153717804237,4.0,364.0,260.7268006522096,2.807288393024046,160.84577679634094,87.0,287.7473069642688,1073.0,1073.0
1075.0,573.9720985419992,43.0,21.0,564.5867621391342,4.0,364.0,263.3551164817639,2.807288393024046,160.84577679634094,87.0,290.3756227938232,1074.0,1074.0
1088.0,285.52397320666824,100.0,37.0,273.50052407524225,4.0,370.0,353.26372091493784,1.1667942484752798,66.85238599777222,131.0,348.1234715007804,1087.0,1087.0
1089.0,289.49390785583194,100.0,37.0,277.470458724406,4.0,370.0,362.549711430853,1.1667942484752798,66.85238599777222,131.0,357.4094620166955,1088.0,1088.0
1090.0,289.8909013207484,100.0,37.0,277.8674521893223,4.0,370.0,363.47831048244456,1.1667942484752798,66.85238599777222,131.0,358.33806106828695,1089.0,1089.0
