b,num_physical_stroke,end_point_x,num_stroke,num_brush,end_point_y,theta_deg,start_point_x,theta_rad,g,r,start_point_y,Unnamed: 0,Unnamed: 0.1
172.0,127.0,529.5172418961629,18.0,1.0,290.5019187294745,107.00036644935608,469.33812068886056,1.867508695381738,201.0,199.0,272.102894125683,126.0,126.0
172.0,128.0,528.044218829963,18.0,1.0,295.31984987261364,107.00036644935608,467.8650976226608,1.867508695381738,201.0,199.0,276.9208252688221,127.0,127.0
214.0,129.0,120.7303646213568,19.0,1.0,477.2552932651852,156.22875094413754,47.300145670707614,2.7267060902534004,204.0,197.0,310.5401759564104,128.0,128.0
214.0,130.0,102.3987893883513,19.0,1.0,485.3294955618898,156.22875094413754,28.96857043770213,2.7267060902534004,204.0,197.0,318.614378253115,129.0,129.0
214.0,131.0,84.06721415534584,19.0,1.0,493.4036978585945,156.22875094413754,10.63699520469664,2.7267060902534004,204.0,197.0,326.6885805498196,130.0,130.0
214.0,132.0,65.73563892234036,19.0,1.0,501.4779001552991,156.22875094413754,-7.694580028308848,2.7267060902534004,204.0,197.0,334.76278284652426,131.0,131.0
214.0,133.0,47.40406368933488,19.0,1.0,509.5521024520037,156.22875094413754,-26.026155261314344,2.7267060902534004,204.0,197.0,342.8369851432289,132.0,132.0
214.0,134.0,29.072488456329378,19.0,1.0,517.6263047487083,156.22875094413754,-44.35773049431983,2.7267060902534004,204.0,197.0,350.91118743993354,133.0,133.0
214.0,135.0,10.7409132233239,19.0,1.0,525.7005070454129,156.22875094413754,-62.6893057273253,2.7267060902534004,204.0,197.0,358.9853897366382,134.0,134.0
214.0,136.0,9.824334461673631,19.0,1.0,526.1042171602481,156.22875094413754,-63.60588448897558,2.7267060902534004,204.0,197.0,359.38909985147336,135.0,135.0
209.0,149.0,469.3227058734674,22.0,1.0,140.9680775189203,89.60585474967957,395.77114673582406,1.5639171944457078,203.0,189.0,141.47405641013148,148.0,148.0
209.0,150.0,469.4606279837493,22.0,1.0,161.0171080753193,89.60585474967957,395.90906884610587,1.5639171944457078,203.0,189.0,161.52308696653049,149.0,149.0
209.0,151.0,469.5985500940312,22.0,1.0,181.0661386317184,89.60585474967957,396.0469909563878,1.5639171944457078,203.0,189.0,181.5721175229295,150.0,150.0
209.0,152.0,469.736472204313,22.0,1.0,201.1151691881173,89.60585474967957,396.1849130666697,1.5639171944457078,203.0,189.0,201.6211480793285,151.0,151.0
209.0,153.0,469.8743943145949,22.0,1.0,221.1641997445164,89.60585474967957,396.3228351769515,1.5639171944457078,203.0,189.0,221.6701786357275,152.0,152.0
209.0,154.0,469.957147580764,22.0,1.0,233.1936180783557,89.60585474967957,396.4055884431207,1.5639171944457078,203.0,189.0,233.69959696956693,153.0,153.0
236.0,157.0,427.14373705734266,24.0,1.0,483.09909273855135,146.63292288780212,359.4573275779113,2.5592272962150986,223.0,197.0,380.31880363124816,156.0,156.0
236.0,158.0,410.3595220664808,24.0,1.0,494.1524110209726,146.63292288780212,342.6731125870493,2.5592272962150986,223.0,197.0,391.3721219136695,157.0,157.0
236.0,159.0,393.5753070756186,24.0,1.0,505.2057293033938,146.63292288780212,325.88889759618723,2.5592272962150986,223.0,197.0,402.4254401960908,158.0,158.0
